id,title,description,tags,game,postedBy,postedAt,type
1,Looking for a Tank,"We need a tank for our raid group. Must have experience with end-game content.","[11, 15, 21]",0,1,1747000000,0
2,Casual Gaming Group,"Looking for a group to play casual FPS games on weekends.","[8, 2, 23, 26, 27, 28]",1,2,1747100000,1
3,Need DPS for Dungeon,"We are running dungeons and need a DPS player. Preferably level 50+.","[11, 7, 6]",2,3,1747200000,0
4,LFG for Ranked Matches,"Looking for a competitive team for ranked matches. Voice chat preferred.","[12, 16, 5]",3,4,1747300000,1
5,Healer Needed,"Our group needs a healer for weekly raids. Must be reliable.","[11, 15, 10]",4,5,1747400000,0
6,Weekend Co-op Sessions,"Seeking a group for co-op missions on weekends.","[4, 17, 23]",5,6,1747500000,1
7,Looking for Support,"Need a support player for ranked 5v5 matches.","[12, 19, 16]",6,7,1747600000,0
8,New Player Seeking Guild,"I'm new and looking for a friendly guild to learn the ropes.","[11, 9, 1]",7,8,1747700000,1
9,LF1M DPS,"One more DPS needed for mythic dungeon run tonight.","[11, 7, 6]",0,9,1747800000,0
10,Looking for PvP Group,"Want to join a PvP-focused group for regular matches.","[8, 14, 5]",8,10,1747900000,1
11,Tank for Story Missions,"Need a tank for story progression missions.","[11, 18, 21]",2,11,1748000000,0
12,Seeking Raid Team,"Looking for a consistent raid team to join.","[11, 15, 22]",5,12,1748100000,1
13,LFG for Survival Mode,"Want to join a group for survival mode challenges.","[20, 4, 3]",9,13,1748200000,1
14,Healer for PvE Content,"Group needs a healer for PvE dungeons and events.","[11, 13, 10]",10,1,1748300000,0
15,WoW Raid Group,"Looking for players to join our World of Warcraft raid group. All roles welcome.","[11, 24, 15]",0,2,1748400000,0
16,Looking for healer,"Need a healer for raid tonight, level 60+.","[11, 15, 10]",2,5,1747559995,0
17,Looking for healer,"Need a healer for raid tonight, level 60+.","[11, 15, 10]",2,5,1747560079,0
18,Looking for healer,"Need a healer for raid tonight, level 60+.","[11, 15, 10]",2,5,1747560113,0
19,asdf,asdf,[25],9,13,1747560678,0
20,test123123123,test,[3],7,13,1747562031,0
21,123,test,[3],1,13,1747562117,0
22,asdfasdf,234234234,[3],2,13,1747562170,0
23,124123asdf,1231231asfd,"[3, 2]",1,13,1747562446,1
24,asdf,afssadfsfd,"[3, 2, 4]",4,13,1747562661,1
25,test,test,[2],3,13,1747562717,0
26,1234,1234,[2],1,13,1747562734,0
27,asdf,sfda,"[3, 4]",6,13,1747562963,0
28,sadfasdf,weqrqwer,"[2, 30]",2,13,1747565112,0
